# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-27 17:35:00 ET
# place|confirmed_cases|deaths|notes|sources
Sri Lanka|1|0|1 recovered|https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland|2|0|1 recovered|https://www.hs.fi/kaupunki/art-2000006420345.html
Sweden|7|0||https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/februari/inbjudan-till-presstraff-ytterligare-fall-av-covid-19-i-flera-regioner2/
Belgium|1|0|1 recovered|https://m.hln.be/nieuws/binnenland/live-enige-besmette-belg-mag-ziekenhuis-verlaten-eerste-coronadode-buiten-azie-chinese-toerist-80-in-frankrijk-overleden~a4e2bfa0/
Egypt|1|0|1 recovered|https://m.facebook.com/story.php?story_fbid=1101972226806612&amp;id=352015718468937&amp;__tn__=-R
Israel|3|0||https://www.jpost.com/HEALTH-SCIENCE/Netanyahu-International-coronavirus-quarantine-list-may-grow-618492
Lebanon|3|0||https://www.facebook.com/1512466882396311/posts/2256178921358433
Afghanistan|1|0||http://www.1tvnews.af/en/news/afghanistan/41339
Austria|3|0||https://twitter.com/Rover829/status/1232271570707472384
Croatia|3|0||https://www.vecernji.hr/vijesti/cekaju-se-nalazi-djevojke-zarazenog-beros-i-ona-pokazuje-znakove-1381776
Switzerland|8|0||https://www.nzz.ch/schweiz/siebter-coronavirus-fall-in-der-schweiz-ld.1542664
Algeria|1|0||https://news.trust.org/item/20200225214652-ww227
Brazil|1|0||https://news.trust.org/item/20200226095635-eztvt
Greece|3|0||https://www.cnn.gr/news/ellada/story/209034/o-koronaios-eftase-stin-ellada-proto-epivevaiomeno-kroysma-sti-thessaloniki?utm_medium=Social&amp;utm_source=Twitter#Echobox=1582715020
Pakistan|2|0||https://twitter.com/zfrmrza/status/1232707169163841537
North Macedonia|1|0||https://makfax.com.mk/makedonija/прв-случај-на-коронавирус-во-земјава/
Georgia|1|0||http://www.ghn.ge/news/240287-sakartveloshi-koronavirusis-pirveli-shemtkhveva-dafiksirda
Norway|4|0||https://www.fhi.no/nyheter/2020/tre-nye-personer-har-testet-positivt-pa-koronavirus/
Romania|1|0||https://www.antena3.ro/actualitate/surse-primul-roman-confirmat-cu-coronavirus-560472.html
Denmark|1|0||https://www.sst.dk/da/nyheder/2020/foerste-dansker-med-covid-19-har-det-godt_-og-er-i-hjemmeisolation
Estonia|1|0||https://www.err.ee/1057192/eestis-leiti-esimene-koroonaviirusesse-nakatunu
Netherlands|1|0||https://www.rivm.nl/nieuws/patient-met-nieuw-coronavirus-in-nederland
San Marino|1|0||https://www.sanmarinortv.sm/news/comunicati-c9/gruppo-coordinamento-emergenze-sanitarie-aggiornamento-del-27-febbraio-2020-a184304
CHINA TOTAL|4,275|70|106 serious/critical|
