# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-27 17:35:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei province <br>(includes Wuhan)|65,596|2,641|7,984 serious|http://www.nhc.gov.cn/yjb/s7860/202002/369fb309eded45abaf10645a9c8ceb40.shtml
Guangdong|1,333|5|35 serious, 27 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2903465.html
Henan|1,267|19|24 serious, 21 critical|https://m.weibo.cn/detail/4474319956743791
Zhejiang|1,203|1|31 serious, 18 critical|https://www.zjwjw.gov.cn/art/2020/2/21/art_1202101_41958074.html
Hunan|1,011|4|43 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200221_11186924.html
Anhui|988|6|3 critical|http://wjw.ah.gov.cn/news_details_55204.html
Jiangxi|934|1|26 serious|http://hc.jiangxi.gov.cn/doc/2020/02/21/139305.shtml
Jiangsu|631|0|6 serious, 4 critical|https://m.weibo.cn/detail/4474325052401656
Chongqing|567|6|29 serious, 12 critical|http://wsjkw.cq.gov.cn/tzgg/20200221/255485.html
Shandong|749|4|8 serious, 12 critical|https://m.weibo.cn/detail/4474428941083976
Sichuan|525|3|18 critical|https://m.weibo.cn/detail/4474321252680395
Heilongjiang|479|12|70 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/8012/navid/42/stypeid/
Beijing|396|4|19 critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200221_1666018.html
Shanghai|334|2|11 serious, 3 critical|https://m.weibo.cn/detail/4474399522779832
Tianjin|132|3||https://m.weibo.cn/detail/4474397756828392
Other regions|2,256|23||http://www.nhc.gov.cn/yjb/s7860/202002/553ff43ca29d4fe88f3837d49d6b6ef1.shtml
Undisclosed|72|7||http://www.nhc.gov.cn/yjb/s7860/202002/369fb309eded45abaf10645a9c8ceb40.shtml
CHINA TOTAL|78,514|2,744|8,346 serious, 32,495 recovered, 2,358 suspected|
Diamond Princess|705|4|36 serious, 10 recovered|https://www3.nhk.or.jp/news/html/20200225/k10012299951000.html
South Korea|1,766|13|13 serious, 5 critical, 24 recovered|https://twitter.com/Rover829/status/1232846981489258496
Italy|655|17|19 serious, 3 recovered |https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_aggiornamento_ora_per_ora-249241616/
Japan|207*|4|13 serious, 32 recovered|https://www3.nhk.or.jp/news/html/20200227/k10012303921000.html?utm_int=news_contents_news-main_005
Iran|245|26||https://twitter.com/FarsNews_Agency/status/1232599960786436097
Singapore|96|0|8 critical, 66 recovered|https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
Hong Kong|92|2|4 critical, 2 serious, 18 recovered|https://news.rthk.hk/rthk/ch/component/k2/1510983-20200226.htm
United States|60|0|6 recovered|https://www.washingtonpost.com/world/asia_pacific/coronavirus-china-live-updates/2020/02/26/f889693a-580e-11ea-9000-f3cffee23036_story.html
Thailand|40|0|2 serious, 15 recovered|https://www.bangkokpost.com/thailand/general/1866094/thailand-has-3-new-coronavirus-cases-for-total-of-40-ministry
Taiwan|32|1|5 recovered|https://www.cdc.gov.tw/Bulletin/Detail/ra20bYUzTRZoZGSg9LbpeA?typeid=9
Malaysia|22|0|17 recovered|https://twitter.com/KKMPutrajaya/status/1230401994126319617
Australia|23|0|15 recovered|https://www.canberratimes.com.au/story/6650516/eighth-case-of-coronavirus-among-australians-from-diamond-princess/?src=rss
Germany|45|0|2 critical, 16 recovered|https://www.stmgp.bayern.de/presse/bayerisches-gesundheitsministerium-ein-neuer-coronavirus-fall-in-bayern/
Vietnam|16|0|16 recovered|https://twitter.com/VNGovtPortal/status/1231839072466825216
UAE|19|0|2 serious, 5 recovered|https://www.wam.ae/en/details/1395302827338
United Kingdom|16|0|8 recovered|https://www.bbc.com/news/uk-northern-ireland-51665704
France|38|2|1 serious, 11 recovered|https://www.bfmtv.com/sante/direct-coronavirus-covid-19-france-mort-cas-creil-oise-paris-amiens-strasbourg-italie-chine-symptomes-virus-maladie-epidemie
Canada|13|0|3 recovered|https://news.ontario.ca/mohltc/en/2020/02/ontario-confirms-positive-case-of-covid-19.html
Macau|10|0|6 recovered|https://news.gov.mo/detail/zh-hant/N20BYoPaz7;jsessionid=1003B47FC809322765895640397BFB0A.app01?0
Bahrain|33|0||https://twitter.com/MOH_Bahrain/status/1232763295846846467
Kuwait|43|0||https://twitter.com/KUWAIT_MOH/status/1232670985272340480
Iraq|7|0||https://www.rudaw.net/arabic/kurdistan/270220207
Philippines|3|1|2 recovered|https://twitter.com/mohapuae/status/1226552040559718400
India|3|0|3 recovered|https://twitter.com/drthomasisaac/status/1228129065560768513
Russia|2|0|2 recovered|https://www.channelnewsasia.com/news/world/russia-discharges-second-china-coronavirus-patient-12426458
Spain|23|0|1 serious, 2 recovered|https://elpais.com/sociedad/2020/02/27/actualidad/1582788331_279244.html
Oman|6|0||https://twitter.com/OmaniMOH/status/1233080668449624069
Nepal|1|0|1 recovered|https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30067-0/fulltext
Cambodia|1|0|1 recovered|https://twitter.com/VOD_English/status/1221769368180121603
