# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-29 15:55:00 ET
# place|confirmed_cases|deaths|notes|sources
Pakistan|4|0||https://twitter.com/zfrmrza/status/1232707169163841537 https://news.trust.org/item/20200229133434-4qkuz https://twitter.com/zfrmrza/status/1232707169163841537
North Macedonia|1|0||https://makfax.com.mk/makedonija/прв-случај-на-коронавирус-во-земјава/
Georgia|3|0||https://1tv.ge/en/news/third-case-of-novel-coronavirus-confirmed-in-georgia/
Norway|7|0||https://twitter.com/Oslounivsykehus/status/1233679507657252864
Romania|3|0||https://www.romania-insider.com/two-more-coronavirus-cases-romania
Denmark|3|0||https://jyllands-posten.dk/indland/ECE11975465/ny-coronasmittet-er-ansat-paa-aarhus-universitetshospital/
Estonia|1|0||https://www.err.ee/1057192/eestis-leiti-esimene-koroonaviirusesse-nakatunu
Netherlands|6|0||https://www.rivm.nl/nieuws/ook-enkele-contacten-van-tilburgse-patient-testten-positief-voor-covid-19
San Marino|1|0|1 serious|https://www.sanmarinortv.sm/news/comunicati-c9/gruppo-coordinamento-emergenze-sanitarie-aggiornamento-del-27-febbraio-2020-a184304
Nigeria|1|0||https://www.reuters.com/article/us-china-health-nigeria/italian-man-becomes-nigerias-first-case-of-coronavirus-minister-idUSKCN20M07D
Lithuania|1|0||https://www.15min.lt/naujiena/aktualu/lietuva/koronavirusas-pasieke-lietuva-uzfiksuotas-pirmasis-atvejis-56-1282110
New Zealand|1|0||https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&amp;objectid=12312691
Belarus|1|0||https://news.tut.by/society/674389.html
Mexico|3|0||https://news.trust.org/item/20200229042811-j7nun
Azerbaijan|1|0||https://www.interfax.ru/world/697084
Iceland|1|0||https://www.ruv.is/frett/fyrsta-tilfellid-um-covid-19-greint-a-islandi
Monaco|1|0||https://twitter.com/GvtMonaco/status/1233513588884676611
Qatar|1|0||https://twitter.com/QatarNewsAgency/status/1233713028551626752
Ecuador|1|0|1 critical|https://twitter.com/elcomerciocom/status/1233773816825946113
Luxembourg|1|0||https://twitter.com/joel_mossong/status/1233839581633687553
Ireland|1|0||https://bnonews.com/wp-content/uploads/2020/02/ireland.png
CHINA TOTAL|6,719|107|204 serious/critical|
