# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-03-1 17:57:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei province <br>(includes Wuhan)|66,907|2,761|7,107 serious|http://www.nhc.gov.cn/yjb/s7860/202003/9d462194284840ad96ce75eb8e4c8039.shtml
Guangdong|1,349|7|17 serious, 20 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2911721.html
Henan|1,272|22|7 serious, 4 critical|https://m.weibo.cn/detail/4477581186921707
Zhejiang|1,205|1|8 serious, 8 critical|https://www.zjwjw.gov.cn/art/2020/3/1/art_1202101_42044158.html
Hunan|1,018|4|18 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202003/t20200301_11195085.html
Beijing|413|8||http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202003/t20200301_1673161.html
Shanghai|337|3|9 serious|http://wsjkw.sh.gov.cn/xwfb/20200301/85c7dd3dd57243e39450b4b4a1d711f9.html
Other regions|7,323|64|100+ serious|http://www.nhc.gov.cn/yjb/s7860/202002/4ef8b5221b4d4740bda3145ac37e68ed.shtml
CHINA TOTAL|79,824|2,870|7,365 serious, 41,825 recovered, 851 suspected|
South Korea|3,736|21|10 critical, 24 recovered|https://en.yna.co.kr/view/AEN20200301000900320
Italy|1,694|34|140 serious, 83 recovered |https://www.repubblica.it/cronaca/2020/03/01/news/coronavirus_in_italia_aggiornamento_ora_per_ora-249954540/
Diamond Princess|705|6|36 serious, 10 recovered|https://www3.nhk.or.jp/news/html/20200228/k10012307111000.html
Iran|978|54|175 recovered|https://twitter.com/FarsNews_Agency/status/1233693331932229632
Japan|256*|6|19 serious, 32 recovered|https://www3.nhk.or.jp/news/html/20200301/k10012308361000.html
Singapore|106|0|7 critical, 74 recovered|https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-four-new-cases-of-covid-19-infection-confirmed
Hong Kong|100|2|4 critical, 2 serious, 36 recovered|https://www.info.gov.hk/gia/general/202003/01/P2020030100724.htm
Germany|130|0|2 critical, 16 recovered|https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.901388.php
United States|73|1|2 serious, 2 critical, 9 recovered|https://twitter.com/BNODesk/status/1234181133421727745
France|130|2|9 serious, 12 recovered|https://www.bfmtv.com/sante/sante-publique/en-direct-coronavirus-3526-contamines-en-coree-du-sud-le-president-moon-jae-in-affirme-la-mobilisation-totale-de-son-pays/
Spain|84|0|5 critical, 2 recovered|https://www.lavanguardia.com/vida/20200301/473873474552/coronavirus-espana-73-casos-graves-sanidad.html
Kuwait|46|0||https://twitter.com/KUWAIT_MOH/status/1234022418999652352
Thailand|42|1|1 serious, 30 recovered|https://pr.moph.go.th/?url=pr/detail/2/04/139295/
